Epoch 1: {'loss': 0.17246726155281067, 'accuracy': 0.8415619134902954, 'f1_score': 0.7329964637756348, 'val_loss': 0.1309935599565506, 'val_accuracy': 0.9358647465705872, 'val_f1_score': 0.8999140858650208}
Epoch 2: {'loss': 0.13833878934383392, 'accuracy': 0.8603527545928955, 'f1_score': 0.8494283556938171, 'val_loss': 0.12306380271911621, 'val_accuracy': 0.9393811821937561, 'val_f1_score': 0.9294772744178772}
Epoch 3: {'loss': 0.12647472321987152, 'accuracy': 0.8727835416793823, 'f1_score': 0.8680275678634644, 'val_loss': 0.10920485854148865, 'val_accuracy': 0.8777111768722534, 'val_f1_score': 0.8649595379829407}
Epoch 4: {'loss': 0.12138521671295166, 'accuracy': 0.8790982365608215, 'f1_score': 0.8761478066444397, 'val_loss': 0.10918860137462616, 'val_accuracy': 0.9157334566116333, 'val_f1_score': 0.8913043141365051}
Epoch 5: {'loss': 0.11471275240182877, 'accuracy': 0.8896132707595825, 'f1_score': 0.8886876702308655, 'val_loss': 0.0935596376657486, 'val_accuracy': 0.939603328704834, 'val_f1_score': 0.9342111945152283}
Epoch 6: {'loss': 0.10924521088600159, 'accuracy': 0.895527184009552, 'f1_score': 0.8961403965950012, 'val_loss': 0.08621921390295029, 'val_accuracy': 0.9142545461654663, 'val_f1_score': 0.9127444624900818}
Epoch 7: {'loss': 0.1068277508020401, 'accuracy': 0.8977549076080322, 'f1_score': 0.8989556431770325, 'val_loss': 0.09755244106054306, 'val_accuracy': 0.9447407722473145, 'val_f1_score': 0.9355531334877014}
Epoch 8: {'loss': 0.10250679403543472, 'accuracy': 0.9039517641067505, 'f1_score': 0.9058870077133179, 'val_loss': 0.08896447718143463, 'val_accuracy': 0.9409258961677551, 'val_f1_score': 0.9347227215766907}
Epoch 9: {'loss': 0.10022121667861938, 'accuracy': 0.906058669090271, 'f1_score': 0.9081637859344482, 'val_loss': 0.08434487879276276, 'val_accuracy': 0.9213512539863586, 'val_f1_score': 0.9187260270118713}
Epoch 10: {'loss': 0.09549879282712936, 'accuracy': 0.9100378155708313, 'f1_score': 0.9131900668144226, 'val_loss': 0.07962402701377869, 'val_accuracy': 0.9193225502967834, 'val_f1_score': 0.918369710445404}
Epoch 11: {'loss': 0.09413008391857147, 'accuracy': 0.912537157535553, 'f1_score': 0.9156263470649719, 'val_loss': 0.08949316293001175, 'val_accuracy': 0.8705952167510986, 'val_f1_score': 0.8707126379013062}
Epoch 12: {'loss': 0.09050684422254562, 'accuracy': 0.9149689674377441, 'f1_score': 0.9182035326957703, 'val_loss': 0.07626918703317642, 'val_accuracy': 0.9110703468322754, 'val_f1_score': 0.9148769974708557}
Epoch 13: {'loss': 0.08986428380012512, 'accuracy': 0.9159160256385803, 'f1_score': 0.9187862873077393, 'val_loss': 0.08172525465488434, 'val_accuracy': 0.9387849569320679, 'val_f1_score': 0.9371479749679565}
Epoch 14: {'loss': 0.08953224122524261, 'accuracy': 0.9176452159881592, 'f1_score': 0.9203810691833496, 'val_loss': 0.07224080711603165, 'val_accuracy': 0.9219174981117249, 'val_f1_score': 0.9250796437263489}
Epoch 15: {'loss': 0.08410193771123886, 'accuracy': 0.9197638034820557, 'f1_score': 0.922249436378479, 'val_loss': 0.0718889981508255, 'val_accuracy': 0.9394168257713318, 'val_f1_score': 0.9420230984687805}
Epoch 16: {'loss': 0.08515087515115738, 'accuracy': 0.9193246960639954, 'f1_score': 0.9215680956840515, 'val_loss': 0.07148131728172302, 'val_accuracy': 0.9220914840698242, 'val_f1_score': 0.924728512763977}
Epoch 17: {'loss': 0.0788840502500534, 'accuracy': 0.92289799451828, 'f1_score': 0.9253710508346558, 'val_loss': 0.07426164299249649, 'val_accuracy': 0.9299315214157104, 'val_f1_score': 0.9326189756393433}
Epoch 18: {'loss': 0.07640571147203445, 'accuracy': 0.9248033761978149, 'f1_score': 0.9271140098571777, 'val_loss': 0.0736013874411583, 'val_accuracy': 0.9408754706382751, 'val_f1_score': 0.9436646103858948}
Epoch 19: {'loss': 0.07286731153726578, 'accuracy': 0.9259036183357239, 'f1_score': 0.9280528426170349, 'val_loss': 0.06335677951574326, 'val_accuracy': 0.9448395371437073, 'val_f1_score': 0.9456214904785156}
